SeriesID,SeriesName,Source,definition,Notes,Currency,UoM,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GDPP,Nominal GDP (PPP$),"Derived from Deutsche Bundesbank; OECD, Economic Outlook",Gross domestic product (GDP) at purchasing power parity (PPP) in US$.,Data prior to 1991 are for west Germany (incl west Berlin) only. ,PPP,bn,na,na,na,na,na,na,na,na,na,na,750.61,826.85,873.42,921.05,982.08,1039.5,1084.4,1125.4,1205.3,1303,1426.2,1681,1745.1,1768.8,1851,1920.6,1968.7,2017.6,2077.4,2153.5,2237,2340,2410.6,2469.5,2574.8,2618,2810.8,2985.5,3099.5,3014.8,3180.7,3409.9,3488.8,3634.2,3812.8,3885.2,4157.5,4391.8,4577.6,4684.5,4507.3,4704,5006,5234,5437,5633,5854,6075,6293,6515,6737,6968,7209,7463,7732,8008,8298,8604,8925,9261,9613,9976,10350,10731,11115,11500,11882,12256,12615,12954,13263
GDPP,Nominal GDP (PPP$),"Derived from OECD Statistics, Paris; INSEE",Gross domestic product (GDP) at purchasing power parity (PPP) in US$. ,,PPP,bn,na,na,na,na,na,na,na,na,na,na,532.77,589.25,641.29,674.37,710.43,744.93,777.23,816.87,884.74,960.66,1026.1,1071.5,1112.5,1132.2,1183.3,1234.7,1273.3,1333.4,1406.2,1469.3,1590.8,1688.6,1763.8,1753,1817.8,1924.7,2064.4,2182.9,2257.5,2246.1,2334.4,2445.2,2474.3,2609.9,2663.7,2718.4,2862.2,2985.3,3129.8,3338.5,3145.1,3392,3605,3771,3916,4056,4205,4350,4490,4630,4772,4915,5064,5222,5389,5563,5747,5943,6151,6371,6602,6842,7090,7343,7597,7850,8098,8335,8556,8755,8922
GDPP,Nominal GDP (PPP$),"OECD Statistics, Paris",Gross domestic product (GDP) at purchasing power parity (PPP) in US$.,,PPP,bn,na,na,na,na,na,na,na,na,na,na,564.09,621.46,662.17,697.47,745.71,791.24,831.1,876.88,946.72,1018.1,1052.4,1104.4,1137.5,1154.5,1206,1271.9,1307.7,1359,1422.7,1455.5,1544.3,1597.3,1639,1672.4,1700.9,1747.3,1886.8,1992.2,2089.2,2044.8,2083.6,2173.8,2172.4,2186.8,2201.5,2239.4,2421.8,2520,2605.3,2678.7,2489.9,2697,2878,3009,3127,3225,3327,3423,3510,3595,3679,3762,3848,3938,4035,4135,4241,4356,4479,4609,4747,4890,5038,5188,5336,5480,5616,5739,5845,5927,5977
GDPP,Nominal GDP (PPP$),"Derived from Office for National Statistics; OECD Statistics, Paris",Gross domestic product (GDP) at purchasing power parity (PPP) in US$.  ,,PPP,bn,na,na,na,na,na,na,na,na,na,na,511.75,560.51,610.23,663.49,704.03,755.84,796.42,858.97,938.53,999.39,1046.2,1072,1098.6,1153,1222.8,1190.4,1270.5,1342.6,1383.7,1432.6,1556,1639.4,1721.5,1803.3,1913.5,1968.7,2109.2,2177.6,2264.9,2182.8,2288.4,2351.1,2439.8,2560.9,2667.5,2772.4,2896.3,3032.9,3117.1,3260.5,2975,3240,3497,3641,3.78E+03,3.92E+03,4079,4239,4399,4564,4736,4912,5097,5293,5502,5718,5946,6188,6444,6713,6998,7294,7603,7923,8250,8585,8926,9271,9615,9956,10288
DGDP,Real GDP (% change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real GDP, over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Statistical discrepancy due to chaining residual. Seasonally and Working-day adjusted.,,,na,na,na,na,na,na,na,na,na,na,na,0.6,-0.5,1.5,2.9,2.6,2.3,1.3,3.4,4.1,5.5,5.7,1.499,-0.988,2.462,1.614,0.848,1.859,1.796,1.749,3.139,1.815,-0.166,-0.711,0.698,0.9,3.999,3.093,0.684,-5.641,4.042,3.988,0.618,0.555,2.204,1.239,2.142,2.989,1.104,1.087,-4.928,2.9,4.1,2.1,1.9,1.8,1.6,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.2,1.1,0.9,0.6,0.4
DGDP,Real GDP (% change pa),Derived from INSEE,"Percentage change in real GDP, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,1.098,2.395,1.306,1.676,1.609,2.25,2.628,4.566,4.471,3.029,0.944,1.483,-0.562,2.336,2.234,1.388,2.298,3.618,3.279,4.089,2.007,1.12,0.843,2.585,1.72,2.628,2.422,0.114,-2.784,1.838,2.237,0.374,0.615,0.975,1.042,1.026,2.442,1.841,1.838,-7.988,5.5,4,2.1,1.7,1.6,1.3,1.1,1,0.9,0.9,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1,0.8,0.6,0.3,-0.1
DGDP,Real GDP (% change pa),Derived from INDS; EuroStat,"Percentage change in real GDP, over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,0.325,1.366,3.21,2.839,2.971,2.958,4.3,3.475,1.952,0.563,0.7,-0.858,2.281,2.961,1.427,1.945,1.649,1.574,4.055,1.778,0.249,0.223,1.226,0.998,1.881,1.346,-0.963,-5.323,1.674,0.844,-3.012,-1.863,0.069,0.66,1.405,1.742,0.817,0.284,-8.93,6,4.4,2,1.8,1.2,0.8,0.6,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.6,0.4,0.1,-0.2,-0.6,-1.1
DGDP,Real GDP (% change pa),Derived from Office for National Statistics,"Percentage change in real GDP, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-0.692,1.971,4.197,2.243,4.124,3.15,5.392,5.732,2.578,0.734,-1.103,0.401,2.491,3.846,2.531,2.492,4.975,3.708,3.295,3.506,2.73,2.179,3.322,2.286,2.956,2.694,2.361,-0.279,-4.114,2.074,1.276,1.43,2.186,2.863,2.363,1.722,1.74,1.253,1.434,-9.847,6.6,5.6,1.6,1.7,1.8,1.7,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2,2,2,2,2,2,1.9,1.9,1.8,1.6,1.5,1.3
DCPR,Private consumption (real % change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real private consumption, over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Seasonally and Working-day adjusted,,,na,na,na,na,na,na,na,na,na,na,na,-0.2,-1.1,1.4,2,2,3.8,3.4,2.4,3.3,4.3,4.2,2.664,0.176,1.317,1.681,1.548,0.872,1.336,2.471,1.76,1.272,-1.344,0.433,0.285,0.901,1.482,-0.218,0.183,0.013,0.589,1.862,1.547,0.517,1.063,1.83,2.235,1.805,1.504,1.609,-6.169,1.3,4.8,2.2,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4
DCPR,Private consumption (real % change pa),Derived from INSEE,"Percentage change in real private consumption, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,1.985,3.285,0.757,0.721,1.876,3.624,3.279,3.207,3.451,2.505,0.668,1.007,0.13,1.552,1.907,1.83,0.564,4.009,3.448,3.776,2.481,2.039,1.455,1.817,2.442,2.379,2.56,0.426,0.362,1.869,0.547,-0.496,0.693,0.859,1.428,1.638,1.685,0.848,1.861,-7.168,3.4,6,2.1,1.8,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
DCPR,Private consumption (real % change pa),Derived from INDS; EuroStat,"Percentage change in real private consumption, over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,0.931,-0.202,2.983,2.905,4.059,3.661,4.059,4.001,2.076,2.411,1.738,-3.03,1.52,1.538,1.174,3.481,3.393,2.763,2.602,0.668,-0.035,0.654,1.017,1.357,1.315,1.216,-1.131,-1.485,1.063,0.031,-3.72,-2.433,0.154,1.869,1.22,1.51,0.975,0.303,-10.736,3.6,5.6,2,1.6,1.2,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.1,0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,0
DCPR,Private consumption (real % change pa),Derived from Office for National Statistics,"Percentage change in real private consumption, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,0.373,1.261,4.4,2.532,5.126,5.904,5.153,7.331,3.839,1.135,-0.525,0.951,3.022,3.28,2.188,3.694,5.069,4.161,4.48,4.427,3.562,3.298,3.335,3.185,2.477,1.604,2.343,-0.381,-2.726,1.154,-0.102,1.717,2.632,2.337,3.01,3.403,1.133,1.426,1.1,-10.963,4.8,5,1.1,1.4,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.4,1.3,1.1,0.9,0.7
DGCE,Government consumption (% real change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real government consumption, over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Seasonally and Working-day adjusted,,,na,na,na,na,na,na,na,na,na,na,na,4.6,-1,-0.5,1.2,0.8,1.5,0.6,1.5,-2.1,2,2.5,5.598,0.757,3.359,2.215,2.668,0.89,2.379,1.239,1.611,0.559,1.207,0.732,-0.596,0.6,1.108,1.701,3.727,3.159,1.417,0.958,1.282,1.419,1.693,2.902,4.037,1.648,1.206,2.698,3.691,2.6,1.2,1.6,1.8,1.7,1.5,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.2,1,0.8,0.4,0.1
DGCE,Government consumption (% real change pa),Derived from INSEE,"Percentage change in real government consumption, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,2.866,4.335,2.61,2.172,3.001,2.595,2.796,3.392,1.523,3.172,3.53,3.172,3.561,0.344,0.054,2.299,1.011,-0.683,1.527,1.907,1.003,1.788,1.926,2.1,1.288,1.428,1.804,1.073,2.457,1.225,1.084,1.615,1.494,1.303,0.993,1.386,1.409,0.775,1.008,-3.223,4.9,0.8,0.6,1,1,1.4,1.7,1.9,2,2.1,2,1.9,1.8,1.7,1.5,1.3,1.2,1,0.9,0.8,0.7,0.6,0.6,0.6,0.7,0.9,1.1,1.4,1.7,2.1
DGCE,Government consumption (% real change pa),Derived from INDS; EuroStat,"Percentage change in real government consumption, over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,2.9,3.6,1.7,2.8,2.5,4.7,3.9,0.5,2.4,1.9,1,-1.6,-1.7,-3.2,0.4,0.11,1.787,1.136,3.377,5.506,1.343,1.4,0.636,0.565,-0.471,0.509,1.324,-0.085,0.687,-2.037,-1.839,-1.144,-0.628,-0.554,0.666,-0.053,0.13,-0.831,1.561,2.4,-1,0.6,0.3,0.3,0.9,1.4,1.6,1.8,1.7,1.6,1.4,1.2,0.9,0.6,0.3,0,-0.3,-0.6,-0.8,-1,-1.1,-1,-0.9,-0.6,-0.2,0.4,1.2,2.2,3.4
DGCE,Government consumption (% real change pa),Derived from Office for National Statistics,"Percentage change in real government consumption, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-0.093,0.622,1.566,1.201,-0.296,1.537,0.205,0.193,0.889,2.402,2.988,0.975,-0.572,1.132,1.372,0.674,-0.343,3.773,3.875,3.226,4.333,4.351,3.734,3.81,3.767,1.673,0.892,2.262,1.009,0.695,0.964,0.688,-0.479,2.015,1.786,1.011,0.732,0.638,4.008,-6.46,13.7,2,1.4,1.4,1.3,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.2,2.1,2,1.8,1.6,1.4
DFIN,Gross fixed investment (% real change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real gross fixed investment, over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Seasonally and Working-day adjusted,,,na,na,na,na,na,na,na,na,na,na,na,-4.5,-4.9,2.8,0.4,1.4,3.2,1.7,4.5,7.4,8.6,4.7,3.541,-4.632,3.701,0.075,-0.255,0.487,3.535,3.969,2.705,-2.309,-6.083,-1.667,-1.443,1.139,8.158,3.869,0.935,-9.416,4.921,7.575,0.389,-1.187,3.209,1.162,3.628,3.203,3.626,2.579,-3.531,3.2,4.2,2.5,2.1,2.3,1,0,-0.6,-0.9,-1,-0.9,-0.6,-0.1,0.5,1.1,1.8,2.4,2.9,3.4,3.6,3.8,3.7,3.5,3.1,2.5,1.7,0.6,-0.7,-2.3,-4.4
DFIN,Gross fixed investment (% real change pa),Derived from INSEE,"Percentage change in real gross fixed investment, over previous year.",Exports of goods and services,,,na,na,na,na,na,na,na,na,na,na,na,-0.962,-0.974,-2.964,-0.742,2.367,4.066,5.186,8.59,7.495,4.605,-0.568,-1.553,-5.462,1.614,1.41,0.687,0.786,6.419,7.703,6.87,2.297,-0.924,1.907,3.169,2.981,3.924,5.507,0.679,-8.984,1.876,2.169,0.355,-0.722,-0.013,0.927,2.549,5.005,3.302,4.102,-8.918,10.7,3.6,2.2,1.8,1.5,0.8,0.3,-0.1,-0.3,-0.4,-0.3,-0.2,0,0.3,0.6,0.9,1.3,1.6,1.9,2.1,2.2,2.3,2.2,2.1,1.8,1.5,1,0.4,-0.4,-1.3
DFIN,Gross fixed investment (% real change pa),Derived from INDS; EuroStat,"Percentage change in real gross fixed investment, over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,-3.5,-1.1,4,1.2,3,4.3,7.4,4.6,4,1.8,-2,-11.2,1.3,7.4,2.1,2.077,3.866,4.302,7.153,2.585,3.836,-0.514,1.264,1.901,2.697,1.274,-3.231,-9.784,-0.254,-1.172,-9.853,-6.446,-2.109,1.556,4.155,3.387,2.909,1.118,-9.223,15,9,4.5,2.6,1.5,0.1,-0.9,-1.6,-2,-2.1,-2,-1.7,-1.2,-0.5,0.3,1.1,1.8,2.5,3.1,3.5,3.7,3.6,3.4,2.9,2.2,1.2,0,-1.6,-3.7,-6.4
DFIN,Gross fixed investment (% real change pa),Derived from Office for National Statistics,"Percentage change in real gross fixed investment, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-6.639,5.144,7.231,6.439,2,-1.277,12.398,15.476,4.851,-2.56,-7.947,-1.618,0.761,1.595,-0.472,4.668,-1.568,7.798,1.889,4.5,1.548,2.605,2.681,1.404,4.278,3.199,3.962,-4.395,-11.9,4.079,-1.026,1.906,3.718,6.965,5.323,4.448,2.765,0.385,1.533,-8.777,6.2,10.2,4.8,3.4,3.2,2.4,1.7,1.3,1,0.8,0.7,0.7,0.8,1,1.2,1.4,1.6,1.9,2.1,2.4,2.6,2.7,2.8,2.9,2.9,2.8,2.7,2.5,2.2,1.9
DEXP,Exports of G&S (% real change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real exports of goods and services, over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Seasonally and Working-day adjusted,,,na,na,na,na,na,na,na,na,na,na,na,7.2,3.3,-0.7,9.7,8,-1.4,0.4,5,10.7,12.4,22.1,-1.243,-6.015,8,6.9,6.057,12.37,7.095,4.935,14.481,6.068,4.237,1.791,10.396,6.997,12.835,9.245,1.28,-14.277,14.034,8.526,3.565,1.189,4.681,4.874,2.294,5.406,2.45,0.978,-10.158,8.8,4.2,2.9,3.3,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.5,2.4,2.4,2.3,2.3,2.2,2.1,2.1,2,2,2,1.9,1.9,1.9,1.9,1.9
