datetime,Sequence,frequency11,humidity1,state1,temperature1,timestamp
40:00.7,1.00,5251.22,0,1,0,1.6564E+12
40:01.7,2.00,5244.94,0,1,0,1.6564E+12
40:02.7,3.00,5244.94,0,1,0,1.6564E+12
40:03.7,4.00,5251.22,0,1,0,1.6564E+12
40:04.7,5.00,5265.49,0,1,0,1.6564E+12
40:05.7,6.00,5251.22,0,1,0,1.6564E+12
40:06.7,7.00,5251.55,0,1,0,1.6564E+12
40:07.7,8.00,5244.94,0,1,0,1.6564E+12
40:08.7,9.00,5244.94,0,1,0,1.6564E+12
40:09.7,10.00,5251.22,0,1,0,1.6564E+12
40:10.7,11.00,5251.55,0,1,0,1.6564E+12
40:11.7,12.00,5270.15,0,1,0,1.6564E+12
40:12.7,13.00,5251.22,0,1,0,1.6564E+12
40:13.7,14.00,5244.94,0,1,0,1.6564E+12
40:14.7,15.00,5240.65,0,1,0,1.6564E+12
40:15.7,16.00,5251.55,0,1,0,1.6564E+12
40:16.7,17.00,5244.94,0,1,0,1.6564E+12
40:17.7,18.00,5239.66,0,1,0,1.6564E+12
40:18.7,19.00,5251.22,0,1,0,1.6564E+12
40:19.7,20.00,5244.94,0,1,0,1.6564E+12
40:20.7,21.00,5251.22,0,1,0,1.6564E+12
40:21.7,22.00,5251.55,0,1,0,1.6564E+12
40:22.7,23.00,5244.94,0,1,0,1.6564E+12
40:23.7,24.00,5244.94,0,1,0,1.6564E+12
40:24.7,25.00,5265.49,0,1,0,1.6564E+12
40:25.8,26.00,5251.22,0,1,0,1.6564E+12
40:26.8,27.00,5269.81,0,1,0,1.6564E+12
40:27.8,28.00,5251.22,0,1,0,1.6564E+12
40:28.8,29.00,5244.94,0,1,0,1.6564E+12
40:29.8,30.00,5269.81,0,1,0,1.6564E+12
40:30.8,31.00,5251.22,0,1,0,1.6564E+12
40:31.8,32.00,5244.94,0,1,0,1.6564E+12
40:32.8,33.00,5244.94,0,1,0,1.6564E+12
40:33.8,34.00,5226.52,0,1,0,1.6564E+12
40:34.8,35.00,5265.49,0,1,0,1.6564E+12
40:35.8,36.00,5251.22,0,1,0,1.6564E+12
40:36.8,37.00,5251.55,0,1,0,1.6564E+12
40:37.8,38.00,5244.94,0,1,0,1.6564E+12
40:38.8,39.00,5244.94,0,1,0,1.6564E+12
